from,to
Platzeck,SPD
Pofalla,CDU
Pofalla,I
Praetorius,U
Praetorius,W
Tillich,CDU
Hasselfeldt,CSU
Hasselfeldt,VERB
Kampeter,CDU
Kampeter,G
Kampeter,VERB
Kapferer,FDP
Kapferer,VERB
Kempf,VERB
Nemat,I
Reiche,CDU
Reiche,VERB
Roestel,GRU
Roestel,E
Schweitzer,VERB
Schweitzer,VER
Schweitzer,I
Schweitzer,E
Grothus,R
Grothus,VER
Grothus,U
Wodtke,CDU
Wodtke,R
Wodtke,U
Herntier,R
Kreuzberg,CDU
Kreuzberg,R
Priggen,GRU
Priggen,VERB
Priggen,U
Vassiliadis,SPD
Vassiliadis,G
Scheidt,SPD
Scheidt,G
Scheidt,E
Koerzell,SPD
Koerzell,G
Kaiser,U
Weiger,U
Niebert,U
Niebert,W
Schoenefeld,R
Schoenefeld,VERB
Matthes,W
Schnellnhuber,W
Niebuhr,W
Wehrspohn,W
Laemmel,CDU
Lenz,CSU
Miersch,SPD
SPD,99
GRU,99
FDP,99
CDU,99
CSU,99
Verein,99
Verband,99
Gewerkschaft,99
Umweltschutz,99
Energieunternehmen,99
Industrie,99
Wissenschaft,99
Regionalvertreter,99
